id,date_submitted,street,ward,district,city,detailed_address,area(m2),price(milion_vnd),hot_and_cold_water_machine,washing_machine,fridge,camera,fingerprint_door_lock/magnetic_card,parking,air_conditioner,balcony
22024462,17/03/2023,Đường Trịnh Đình Trọng, Phường Phú Trung, Quận Tân Phú, TPHCM,"Đường Trịnh Đình Trọng, Phường Phú Trung, Quận Tân Phú, TPHCM",30,3.9,0,1,0,0,0,0,1,0
22056079,17/03/2023,Đường Xô Viết Nghệ Tĩnh, Phường 15, Quận Bình Thạnh, TPHCM,"Đường Xô Viết Nghệ Tĩnh, Phường 15, Quận Bình Thạnh, TPHCM",22,5,0,0,0,1,0,1,0,0
22024481,17/03/2023,Đường Âu Cơ, Phường Phú Trung, Quận Tân Phú, TPHCM,"Đường Âu Cơ, Phường Phú Trung, Quận Tân Phú, TPHCM",40,5.2,1,1,0,0,0,0,1,1
22054832,17/03/2023,Đường Phan Huy Ích, Phường 15, Quận Tân Bình, TPHCM,"Đường Phan Huy Ích, Phường 15, Quận Tân Bình, TPHCM",25,4,1,0,1,1,0,0,0,0
22024602,17/03/2023,Đường Lãnh Binh Thăng, Phường 12, Quận 11, TPHCM,"Đường Lãnh Binh Thăng, Phường 12, Quận 11, TPHCM",30,4,0,0,1,0,1,1,1,0
22024603,17/03/2023,Đường Bình Thới, Phường 11, Quận 11, TPHCM,"Đường Bình Thới, Phường 11, Quận 11, TPHCM",25,4,0,0,0,1,1,1,0,0
22024604,17/03/2023,Đường Công Chúa Ngọc Hân, Phường 13, Quận 11, TPHCM,"Đường Công Chúa Ngọc Hân, Phường 13, Quận 11, TPHCM",30,4,0,1,1,1,1,0,1,0
22034367,17/03/2023,Đường Nguyễn Phúc Chu, Phường 15, Quận Tân Bình, TPHCM,"Đường Nguyễn Phúc Chu, Phường 15, Quận Tân Bình, TPHCM",30,4.1,0,0,1,0,0,0,1,0
22037916,17/03/2023,Đường Trịnh Đình Trọng, Phường Phú Trung, Quận Tân Phú, TPHCM,"Đường Trịnh Đình Trọng, Phường Phú Trung, Quận Tân Phú, TPHCM",45,4,0,1,0,0,0,0,1,0
22039236,17/03/2023,Đường Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, TPHCM,"Đường Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, TPHCM",30,3.9,0,0,1,0,0,1,1,1
22039198,17/03/2023,Đường Nguyễn Phúc Chu, Phường 15, Quận Tân Bình, TPHCM,"Đường Nguyễn Phúc Chu, Phường 15, Quận Tân Bình, TPHCM",30,3.8,0,1,1,0,0,0,1,1
22039276,17/03/2023,Đường 3 Tháng 2, Phường 11, Quận 11, TPHCM,"Đường 3/2, Phường 11, Quận 11, TPHCM",25,4,0,0,0,0,0,1,0,1
22058394,17/03/2023,Đường Lý Thánh Tông, Phường Hiệp Tân, Quận Tân Phú, TPHCM,"Đường Lý Thánh Tông, Phường Hiệp Tân, Quận Tân Phú, TPHCM",20,4.5,1,1,1,1,0,0,1,1
22041567,17/03/2023,Đường Xóm Chiếu, Phường 15, Quận 4, TPHCM,"Đường Xóm Chiếu, Phường 15, Quận 4, TPHCM",30,5,0,1,0,0,1,0,1,0
22058954,17/03/2023,Đường Hương Lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, TPHCM,"Đường Hương Lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, TPHCM",25,2.2,0,0,0,0,0,0,0,0
21770344,17/03/2023,Đường Lý Chính Thắng, Phường 7 (Phường Võ Thị Sáu), Quận 3, TPHCM,"Đường Lý Chính Thắng, Phường 7 (Phường Võ Thị Sáu), Quận 3, TPHCM",15,1.9,0,1,0,0,0,0,1,0
22057577,17/03/2023,Đường Cách Mạng Tháng 8, Phường 11, Quận 3, TPHCM,"Đường Cách Mạng Tháng 8, Phường 11, Quận 3, TPHCM",18,3,0,0,0,0,0,0,1,0
21512340,17/03/2023,Đường Bùi Viện, Phường Phạm Ngũ Lão, Quận 1, TPHCM,"Đường Bùi Viện, Phường Phạm Ngũ Lão, Quận 1, TPHCM",15,2.8,1,1,0,0,0,0,1,0
22054674,17/03/2023,Đường Dương Quảng Hàm, Phường 5, Quận Gò Vấp, TPHCM,"Đường Dương Quảng Hàm, Phường 5, Quận Gò Vấp, TPHCM",35,5.5,0,0,1,0,1,0,1,0
22063632,17/03/2023,Đường Lê Tấn Quốc, Phường 13, Quận Tân Bình, TPHCM,"Đường Lê Tấn Quốc, Phường 13, Quận Tân Bình, TPHCM",25,3,1,0,1,1,1,0,1,0
22063631,17/03/2023,Đường Xóm Chiếu, Phường 16, Quận 4, TPHCM,"Đường Xóm Chiếu, Phường 16, Quận 4, TPHCM",30,6,0,0,0,0,1,1,0,0
21832534,17/03/2023,Đường Phạm Văn Chiêu, Phường 14, Quận Gò Vấp, TPHCM,"Đường Phạm Văn Chiêu, Phường 14, Quận Gò Vấp, TPHCM",25,3,0,1,0,1,1,1,0,0
22040841,17/03/2023,Đường Trương Công Định, Phường 14, Quận Tân Bình, TPHCM,"Đường Trương Công Định, Phường 14, Quận Tân Bình, TPHCM",40,5.5,0,1,1,1,1,1,1,0
21546379,17/03/2023,Đường Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, TPHCM,"Đường Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, TPHCM",25,5.4,1,1,1,0,0,0,1,0
22054725,16/03/2023,Đường Dương Đình Hội, Phường Phước Long B, Quận 9 (TP. Thủ Đức), TPHCM,"Đường Dương Đình Hội, Phường Phước Long B, Quận 9 (TP. Thủ Đức), TPHCM",30,4.2,0,0,1,0,0,0,1,0
22045811,16/03/2023,Đường Nguyễn Oanh, Phường 6, Quận Gò Vấp, TPHCM,"Đường Nguyễn Oanh, Phường 6, Quận Gò Vấp, TPHCM",30,3.5,0,0,0,0,0,0,0,0
22045804,16/03/2023,Đường Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, TPHCM,"Đường Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, TPHCM",30,3.5,0,1,0,1,1,1,0,0
22045800,16/03/2023,Đường Nguyễn Oanh, Phường 6, Quận Gò Vấp, TPHCM,"Đường Nguyễn Oanh, Phường 6, Quận Gò Vấp, TPHCM",30,3.5,0,0,0,0,1,1,0,0
22054695,16/03/2023,Đường Nguyễn Thái Sơn, Phường 5, Quận Gò Vấp, TPHCM,"Đường Nguyễn Thái Sơn, Phường 5, Quận Gò Vấp, TPHCM",38,5.8,0,0,0,0,1,1,0,1
22016271,16/03/2023,Đường Lê Đức Thọ, Phường 15, Quận Gò Vấp, TPHCM,"Đường Lê Đức Thọ, Phường 15, Quận Gò Vấp, TPHCM",35,3.4,0,0,0,1,1,1,1,0
21865462,16/03/2023,Đường Bình Giã, Phường 13, Quận Tân Bình, TPHCM,"Đường Bình Giã, Phường 13, Quận Tân Bình, TPHCM",25,4.3,0,0,0,0,0,1,0,1
21923034,16/03/2023,Đường Âu Cơ, Phường Phú Trung, Quận Tân Phú, TPHCM,"Đường Âu Cơ, Phường Phú Trung, Quận Tân Phú, TPHCM",35,6,0,0,0,0,0,0,0,1
22045789,16/03/2023,Đường Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, TPHCM,"Đường Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, TPHCM",30,3.499,1,0,0,1,0,1,1,0
21804502,16/03/2023,Đường Trung Mỹ Tây 13, Phường Trung Mỹ Tây, Quận 12, TPHCM,"Đường Trung Mỹ Tây 13, Phường Trung Mỹ Tây, Quận 12, TPHCM",35,5,0,1,0,1,1,0,0,0
22054715,16/03/2023,Đường Lê Văn Thọ, Phường 9, Quận Gò Vấp, TPHCM,"Đường Lê Văn Thọ, Phường 9, Quận Gò Vấp, TPHCM",30,5.8,0,0,0,0,0,0,0,0
22043342,16/03/2023,Đường Nguyễn Ảnh Thủ, Phường Trung Mỹ Tây, Quận 12, TPHCM,"Đường Nguyễn Ảnh Thủ, Phường Trung Mỹ Tây, Quận 12, TPHCM",35,4.5,0,0,0,1,1,0,0,1
22000449,16/03/2023,Đường Nguyễn Ảnh Thủ, Phường Trung Mỹ Tây, Quận 12, TPHCM,"Đường Nguyễn Ảnh Thủ, Phường Trung Mỹ Tây, Quận 12, TPHCM",28,2.9,1,0,1,1,1,0,1,0
21975256,16/03/2023,Đường Nguyễn Minh Hoàng, Phường 12, Quận Tân Bình, TPHCM,"Đường Nguyễn Minh Hoàng, Phường 12, Quận Tân Bình, TPHCM",30,4.5,0,0,0,0,0,0,0,0
21814491,16/03/2023,Đường số 39, Phường Cát Lái, Quận 2 (TP. Thủ Đức), TPHCM,"Đường số 39, Phường Cát Lái, Quận 2 (TP. Thủ Đức), TPHCM",45,4.5,0,0,0,0,1,1,0,1
22055802,16/03/2023,Đường Xô Viết Nghệ Tĩnh, Phường 21, Quận Bình Thạnh, TPHCM,"Đường Xô Viết Nghệ Tĩnh, Phường 21, Quận Bình Thạnh, TPHCM",45,6,1,0,0,0,0,0,0,1
21870904,16/03/2023,Đường Lê Tấn Quốc, Phường 13, Quận Tân Bình, TPHCM,"Đường Lê Tấn Quốc, Phường 13, Quận Tân Bình, TPHCM",22,4.5,0,0,0,0,0,0,0,0
22038695,16/03/2023,Đường Trường Chinh, Phường Trung Mỹ Tây, Quận 12, TPHCM,"Đường Trường Chinh, Phường Trung Mỹ Tây, Quận 12, TPHCM",35,4.4,0,0,0,1,0,1,0,0
22018561,16/03/2023,Đường Nguyễn Thái Sơn, Phường 5, Quận Gò Vấp, TPHCM,"Đường Nguyễn Thái Sơn, Phường 5, Quận Gò Vấp, TPHCM",30,3.9,0,0,0,1,1,1,1,0
22042351,16/03/2023,Đường Cộng Hòa, Phường 13, Quận Tân Bình, TPHCM,"Đường Cộng Hòa, Phường 13, Quận Tân Bình, TPHCM",26,4.5,0,0,1,0,0,0,1,0
21973816,16/03/2023,Đường Phan Văn Sửu, Phường 13, Quận Tân Bình, TPHCM,"Đường Phan Văn Sửu, Phường 13, Quận Tân Bình, TPHCM",30,5,0,1,1,1,1,0,1,1
22016234,16/03/2023,Đường Nguyễn Văn Lượng, Phường 17, Quận Gò Vấp, TPHCM,"Đường Nguyễn Văn Lượng, Phường 17, Quận Gò Vấp, TPHCM",35,4.9,0,1,1,0,0,1,1,0
22042348,16/03/2023,Đường Văn Chung, Phường 13, Quận Tân Bình, TPHCM,"Đường Văn Chung, Phường 13, Quận Tân Bình, TPHCM",28,4.3,0,0,1,0,0,0,1,0
22009462,16/03/2023,Đường Nguyễn Ảnh Thủ, Phường Hiệp Thành, Quận 12, TPHCM,"Đường Nguyễn Ảnh Thủ, Phường Hiệp Thành, Quận 12, TPHCM",35,3.6,0,0,0,0,0,0,0,1
22042359,16/03/2023,Đường Năm Châu, Phường 11, Quận Tân Bình, TPHCM,"Đường Năm Châu, Phường 11, Quận Tân Bình, TPHCM",28,4.5,0,0,0,0,0,0,1,0
22046946,16/03/2023,Đường Chu Văn An, Phường 12, Quận Bình Thạnh, TPHCM,"Đường Chu Văn An, Phường 12, Quận Bình Thạnh, TPHCM",50,6,0,0,0,0,0,0,1,1
22042381,16/03/2023,Đường Nguyễn Văn Nghi, Phường 7, Quận Gò Vấp, TPHCM,"Đường Nguyễn Văn Nghi, Phường 7, Quận Gò Vấp, TPHCM",25,5.5,0,0,1,0,0,1,1,0
22004308,16/03/2023,Đường Dương Thị Mười, Phường Trung Mỹ Tây, Quận 12, TPHCM,"Đường Dương Thị Mười, Phường Trung Mỹ Tây, Quận 12, TPHCM",35,2.7,0,1,0,1,0,0,1,1
22001461,16/03/2023,Đường Trường Chinh, Phường Tân Hưng Thuận, Quận 12, TPHCM,"Đường Trường Chinh, Phường Tân Hưng Thuận, Quận 12, TPHCM",35,4.5,1,1,1,1,0,1,1,0
22044918,16/03/2023,Đường Dương Quảng Hàm, Phường 5, Quận Gò Vấp, TPHCM,"Đường Dương Quảng Hàm, Phường 5, Quận Gò Vấp, TPHCM",26,4.5,0,0,1,0,0,1,1,1
21786882,16/03/2023,Đường Tô Ký, Phường Trung Mỹ Tây, Quận 12, TPHCM,"Đường Tô Ký, Phường Trung Mỹ Tây, Quận 12, TPHCM",30,3,0,1,0,1,1,1,0,1
22044923,16/03/2023,Đường Trần Bá Giao, Phường 5, Quận Gò Vấp, TPHCM,"Đường Trần Bá Giao, Phường 5, Quận Gò Vấp, TPHCM",26,5,0,0,1,0,0,1,1,0
21932008,16/03/2023,Đường Đất Thánh, Phường 6, Quận Tân Bình, TPHCM,"Đường Đất Thánh, Phường 6, Quận Tân Bình, TPHCM",25,4.8,0,0,0,0,0,0,0,0
21948349,16/03/2023,Đường Trường Chinh, Phường Trung Mỹ Tây, Quận 12, TPHCM,"Đường Trường Chinh, Phường Trung Mỹ Tây, Quận 12, TPHCM",35,4.4,0,1,0,1,1,1,0,0
22001301,16/03/2023,Đường Nguyễn Thái Sơn, Phường 3, Quận Gò Vấp, TPHCM,"Đường Nguyễn Thái Sơn, Phường 3, Quận Gò Vấp, TPHCM",30,5.5,0,0,1,1,1,1,1,0
22001165,16/03/2023,Đường Dương Quảng Hàm, Phường 5, Quận Gò Vấp, TPHCM,"Đường Dương Quảng Hàm, Phường 5, Quận Gò Vấp, TPHCM",35,4.5,1,0,1,1,1,0,1,0
22000689,16/03/2023,Đường Dương Quảng Hàm, Phường 5, Quận Gò Vấp, TPHCM,"Đường Dương Quảng Hàm, Phường 5, Quận Gò Vấp, TPHCM",30,5,0,1,0,0,1,0,0,0
22043179,16/03/2023,Đường số 1, Phường 13, Quận Gò Vấp, TPHCM,"Đường số 1, Phường 13, Quận Gò Vấp, TPHCM",24,3.2,0,0,0,0,1,1,0,0
22000675,16/03/2023,Đường Lê Đức Thọ, Phường 13, Quận Gò Vấp, TPHCM,"Đường Lê Đức Thọ, Phường 13, Quận Gò Vấp, TPHCM",30,4,1,1,1,1,0,1,1,0
22043185,16/03/2023,Đường Phạm Văn Chiêu, Phường 13, Quận Gò Vấp, TPHCM,"Đường Phạm Văn Chiêu, Phường 13, Quận Gò Vấp, TPHCM",20,2.9,0,0,0,0,1,1,0,0
22043182,16/03/2023,Đường Phạm Văn Chiêu, Phường 13, Quận Gò Vấp, TPHCM,"Đường Phạm Văn Chiêu, Phường 13, Quận Gò Vấp, TPHCM",26,3.6,0,0,0,0,1,1,0,1
22000459,16/03/2023,Đường Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, TPHCM,"Đường Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, TPHCM",30,4.5,0,0,0,0,0,0,0,1
22043187,16/03/2023,Đường số 18, Phường 8, Quận Gò Vấp, TPHCM,"Đường số 18, Phường 8, Quận Gò Vấp, TPHCM",24,3.5,0,0,0,0,1,1,0,0
22043180,16/03/2023,Đường Phạm Văn Chiêu, Phường 13, Quận Gò Vấp, TPHCM,"Đường Phạm Văn Chiêu, Phường 13, Quận Gò Vấp, TPHCM",28,3.5,0,0,0,0,1,1,0,0
22000652,16/03/2023,Đường Dương Quảng Hàm, Phường 5, Quận Gò Vấp, TPHCM,"Đường Dương Quảng Hàm, Phường 5, Quận Gò Vấp, TPHCM",30,6,0,1,0,0,1,0,0,0
21988461,16/03/2023,Đường Xô Viết Nghệ Tĩnh, Phường 17, Quận Bình Thạnh, TPHCM,"Đường Xô Viết Nghệ Tĩnh, Phường 17, Quận Bình Thạnh, TPHCM",40,2,0,1,0,1,0,1,0,0
22050614,16/03/2023,Đường số 21, Phường 8, Quận Gò Vấp, TPHCM,"Đường số 21, Phường 8, Quận Gò Vấp, TPHCM",26,5.2,1,0,1,0,1,0,1,1
22025755,16/03/2023,Đường Quang Trung, Phường 10, Quận Gò Vấp, TPHCM,"Đường Quang Trung, Phường 10, Quận Gò Vấp, TPHCM",30,3.8,1,1,1,1,1,0,1,0
22000313,16/03/2023,Đường Trường Chinh, Phường Trung Mỹ Tây, Quận 12, TPHCM,"Đường Trường Chinh, Phường Trung Mỹ Tây, Quận 12, TPHCM",30,4.4,1,1,1,1,1,0,1,0
22050617,16/03/2023,Đường số 21, Phường 8, Quận 8, TPHCM,"Đường số 21, Phường 8, Quận 8, TPHCM",22,4.2,1,1,0,0,1,0,1,0
22000337,16/03/2023,Đường Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, TPHCM,"Đường Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, TPHCM",30,4.4,0,0,0,0,0,0,1,0
21988578,16/03/2023,Đường Nguyễn Trung Trực, Phường 5, Quận Bình Thạnh, TPHCM,"Đường Nguyễn Trung Trực, Phường 5, Quận Bình Thạnh, TPHCM",35,2.6,0,0,0,0,0,0,0,0
22043193,16/03/2023,Đường số 18, Phường 8, Quận Gò Vấp, TPHCM,"Đường số 18, Phường 8, Quận Gò Vấp, TPHCM",28,4,0,0,0,0,1,1,1,0
22043190,16/03/2023,Đường số 18, Phường 8, Quận Gò Vấp, TPHCM,"Đường số 18, Phường 8, Quận Gò Vấp, TPHCM",27,3.7,0,0,0,0,1,1,1,0
22000357,16/03/2023,Đường Đặng Thùy Trâm, Phường 13, Quận Bình Thạnh, TPHCM,"Đường Đặng Thùy Trâm, Phường 13, Quận Bình Thạnh, TPHCM",30,5.5,1,0,0,1,0,0,1,1
22047014,16/03/2023,Đường Trần Bá Giao, Phường 5, Quận Gò Vấp, TPHCM,"Đường Trần Bá Giao, Phường 5, Quận Gò Vấp, TPHCM",24,4.5,0,1,0,0,1,0,0,1
22000434,16/03/2023,Đường Trường Chinh, Phường Trung Mỹ Tây, Quận 12, TPHCM,"Đường Trường Chinh, Phường Trung Mỹ Tây, Quận 12, TPHCM",25,3.8,0,0,1,1,1,1,1,0
22041431,16/03/2023,Đường Trường Chinh, Phường 14, Quận Tân Bình, TPHCM,"Đường Trường Chinh, Phường 14, Quận Tân Bình, TPHCM",29,3.9,0,0,1,0,0,0,1,0
22009426,16/03/2023,Đường Tô Ký, Phường Trung Mỹ Tây, Quận 12, TPHCM,"Đường Tô Ký, Phường Trung Mỹ Tây, Quận 12, TPHCM",30,2.8,0,0,0,1,1,0,0,0
22041434,16/03/2023,Đường Thống Nhất, Phường 16, Quận Gò Vấp, TPHCM,"Đường Thống Nhất, Phường 16, Quận Gò Vấp, TPHCM",24,3.5,0,0,1,0,0,0,1,0
22010809,16/03/2023,Đường Lê Văn Thọ, Phường 9, Quận Gò Vấp, TPHCM,"Đường Lê Văn Thọ, Phường 9, Quận Gò Vấp, TPHCM",40,4.5,0,0,0,1,0,1,0,0
